Density,Abdomen,Chest,Hip,Weight
1.0412,98.6,104.0,99.5,177.0
1.0578,87.3,93.1,96.6,165.5
1.0547,102.8,105.2,103.6,200.25
1.0569,101.6,110.0,100.7,203.25
1.0593,88.7,110.1,102.1,194.0
1.05,92.3,97.8,100.6,168.5
1.0538,90.6,96.3,99.3,170.75
1.0355,105.0,108.0,103.0,183.25
1.0486,95.0,99.7,98.6,178.25
1.0503,89.6,93.5,99.8,163.0
1.0384,92.4,100.7,97.5,175.25
1.0607,86.6,97.0,92.6,158.0
1.0529,90.0,96.0,99.7,177.25
1.0671,90.0,99.2,96.4,179.0
1.0404,92.4,95.4,104.3,191.0
1.0575,87.5,101.8,101.0,187.5
1.0358,99.2,104.3,104.1,206.5
1.0414,98.1,99.2,101.4,185.25
1.0652,83.3,99.3,97.5,160.25
1.0623,86.1,94.0,95.2,151.5
1.0674,84.1,98.9,94.0,161.0
1.0587,89.9,101.0,100.0,167.0
1.0373,92.1,98.7,98.5,177.5
1.059,78.0,95.9,93.2,152.25
1.0515,93.5,103.9,99.5,192.25
1.0648,87.0,96.2,97.8,165.25
1.0575,90.1,97.8,95.8,171.75
1.0472,90.3,94.6,99.1,171.25
1.0452,99.8,103.6,103.2,197.0
1.0398,89.4,100.4,92.3,157.0
1.0435,87.2,98.4,98.4,168.25
1.0374,101.1,104.6,102.1,186.0
1.0491,86.1,92.9,95.6,166.75
1.0325,98.6,97.8,100.6,187.75
1.0481,88.5,98.3,98.3,168.25
1.0522,106.6,104.7,107.7,212.75
1.0422,93.1,98.6,101.6,176.75
1.0571,93.0,99.5,99.3,173.25
1.0459,91.0,102.7,98.9,167.0
1.0775,77.1,92.1,93.9,159.75
1.0754,85.3,96.6,102.5,188.15
1.0664,81.9,92.7,95.3,156.0
1.055,99.1,102.0,110.1,208.5
1.0322,100.5,110.9,106.2,206.5
1.0873,76.5,92.3,92.1,143.75
1.0416,106.8,114.1,113.9,223.0
1.0776,77.6,92.9,93.5,152.25
1.0542,102.9,108.3,114.4,241.75
1.0758,72.8,88.5,91.1,146.0
1.061,88.2,94.0,95.2,156.75
1.051,100.1,101.1,105.0,200.25
1.0594,83.5,92.1,98.3,171.5
1.0287,105.0,105.6,106.4,205.75
1.0761,90.8,98.5,102.5,182.5
1.0704,76.6,88.7,89.8,136.5
1.0477,92.4,101.1,99.3,177.25
1.0775,81.2,94.0,91.5,151.25
1.0653,95.6,103.8,105.1,196.0
1.069,92.1,98.9,103.5,184.25
1.0644,83.4,89.2,89.6,140.0
1.037,106.0,111.4,108.8,218.75
1.0549,95.1,107.5,104.5,217.0
1.0492,90.4,99.1,95.6,166.25
1.0525,100.4,108.2,106.8,224.75
1.018,115.9,114.9,111.9,228.25
1.061,90.8,99.1,98.1,172.75
1.0926,81.9,92.2,92.8,152.25
1.0983,75.0,90.8,89.2,125.75
1.0521,90.3,100.5,98.7,177.25
1.0603,90.3,98.2,99.9,176.25
1.0414,108.8,115.3,114.4,226.75
1.0763,79.4,96.8,89.2,145.25
1.0689,83.2,92.6,96.4,151.0
1.0316,110.3,119.2,113.9,241.25
1.0477,92.7,102.7,101.9,187.25
1.0603,104.5,109.5,109.9,234.75
1.0387,104.6,108.5,109.8,219.25
1.1089,69.4,79.3,85.0,118.5
1.0725,83.6,95.5,91.6,145.75
1.0713,86.8,92.3,96.1,159.25
1.0587,90.4,98.9,95.5,170.5
1.0794,83.7,89.5,98.1,167.5
1.0453,109.3,117.5,108.8,232.75
1.0524,98.9,107.4,104.1,210.5
1.052,98.0,109.2,101.8,202.25
1.0434,101.2,103.4,103.1,185.0
1.0728,80.6,91.4,92.3,153.0
1.014,113.7,115.2,112.4,244.25
1.0624,94.1,104.9,102.7,193.5
1.0429,105.7,106.7,111.8,224.75
1.047,85.6,92.2,96.5,162.75
1.0411,96.6,101.6,100.6,180.0
1.0488,86.0,97.8,96.2,156.25
1.0583,89.7,92.0,101.0,168.0
1.0841,78.0,94.0,99.0,167.25
1.0462,89.7,103.7,94.2,170.75
1.0709,89.2,102.7,99.2,178.25
1.0484,85.7,91.1,96.9,150.0
1.034,103.1,107.2,105.5,200.5
1.0854,89.1,100.8,102.6,184.0
1.0209,113.9,121.6,107.1,223.0
1.061,96.3,105.6,102.0,208.75
1.025,93.9,100.6,100.1,166.0
1.0254,101.3,102.7,101.7,195.0
1.0771,83.9,99.8,91.8,160.5
1.0742,84.4,92.9,94.0,159.75
1.0829,79.4,91.2,89.0,140.5
1.0373,104.0,115.6,109.0,216.25
1.0543,89.7,98.3,99.1,168.25
1.0561,97.6,103.7,104.2,194.75
1.0543,87.6,98.7,96.1,172.75
0.995,122.1,119.8,112.8,219.0
1.0678,81.1,92.8,96.3,149.25
1.0819,81.5,93.3,94.4,154.5
1.0433,100.0,106.8,105.0,199.25
1.0646,88.7,93.9,94.5,154.5
1.0706,91.8,99.0,96.2,153.25
1.0399,110.4,119.9,105.5,230.0
1.0726,87.6,94.2,95.6,161.75
1.0874,82.8,92.7,91.9,142.25
1.074,95.3,106.9,98.2,179.75
1.0703,78.2,88.8,87.5,126.5
1.065,91.1,101.7,97.1,169.5
1.0418,96.7,105.3,106.6,198.5
1.0647,89.4,104.0,98.4,174.5
1.0601,93.0,98.6,97.0,167.75
1.0745,86.4,99.6,90.1,147.75
1.062,96.7,103.4,100.7,182.25
1.0636,88.1,100.2,97.8,175.5
1.0384,94.9,94.9,100.2,161.75
1.0403,93.3,97.2,94.0,157.75
1.0563,95.6,104.7,93.7,168.75
1.0424,98.2,104.0,101.1,191.5
1.0372,113.8,117.6,111.8,219.15
1.0705,82.8,95.8,94.5,155.25
1.0316,100.5,106.4,100.5,189.75
1.0599,79.7,93.0,87.6,127.5
1.0207,118.0,119.6,114.3,224.5
1.0304,109.0,119.7,109.1,234.25
1.0256,113.4,115.8,109.8,227.75
1.0334,106.1,118.3,101.6,199.5
1.0641,84.3,97.4,94.4,155.5
1.0308,107.6,113.7,110.0,215.5
1.0736,83.6,89.2,88.8,134.25
1.0236,105.0,108.5,104.5,201.0
1.0328,111.5,111.1,101.7,186.75
1.0399,101.3,108.3,97.8,190.75
1.0271,108.5,112.4,107.1,207.5
